FY,Section,Page,Category,Units,Fixed_Charge,Energy_Charge,Wheeling_Charge,Raw_Row
2012-13,LT_Residential,71,FY 2006-07,,1.9,4.09,,FY 2006-07 | 1.90 | 4.09
2012-13,LT_Residential,71,FY 2007-08,,2.0,3.71,,FY 2007-08 | 2.00 | 3.71
2012-13,LT_Residential,71,FY 2008-09,,2.05,3.99,,FY 2008-09 | 2.05 | 3.99
2012-13,LT_Residential,71,FY 2009-10,,2.35,4.48,,FY 2009-10 | 2.35 | 4.48
2012-13,LT_Residential,71,FY 2010-11,,2.57,4.7,,FY 2010-11 | 2.57 | 4.70
2012-13,General,72,17 August 2009,,,1099.0,,17 August 2009 | Tariff hike for FY 2010 | 1099
2012-13,General,72,12 September 2010,,,903.0,,12 September 2010 | Tariff hike for FY 2011 | 903
2012-13,General,72,2 December 2010,,,1136.0,,2 December 2010 | Order on Review of Sept 10 Order | 1136
2012-13,General,72,31 October 2011,,,3265.0,,31 October 2011 | Interim Relief for FY 2010 and FY 2011 Truing up | 3265
2012-13,General,72,Total,,,6403.0,,"Total | 6,403"
2012-13,General,72,3 December 2009,,,785.0,,3 December 2009 | Impact of ATE Order for RGPPL Capacity Charges | 785
2012-13,General,72,5 March 2010,,,762.0,,5 March 2010 | Additional Expense Approved by ATE for MSPGCL | 762
2012-13,General,72,31 March 2011,,,432.0,,31 March 2011 | MERC Order on Review of Sept 10 Order of MSPGCL | 432
2012-13,General,72,26 July 2011,,,340.0,,26 July 2011 | ATE Order for MSPGCL based on CPRI Report | 340
2012-13,General,122,Unknown,8,41.0,15.0,3.69,8 | DODSON II | 41 | 15 | 3.69
2012-13,General,122,Unknown,9,11707.0,4467.0,3.82,"9 | RGPPL | 11,707 | 4,467 | 3.82"
2012-13,General,122,Unknown,10,2422.0,1016.0,4.19,"10 | TRADING Company | 2,422 | 1,016 | 4.19"
2012-13,General,122,Unknown,11,2626.0,1176.0,4.48,"11 | ZERO LOAD SH | 2,626 | 1,176 | 4.48"
2012-13,General,122,Unknown,12,1139.0,296.0,2.6,"12 | IPP – JSW | 1,139 | 296 | 2.60"
2012-13,General,122,Unknown,13,,529.0,,13 | POWERGRID | 529
2012-13,General,122,Unknown,15,,3.0,,15 | PSEB ( SUPPLIED) | (226) | 3
2012-13,General,122,Unknown,16,226.0,6.0,,16 | PSEB ( RECEIVED) | 226 | 6
2012-13,General,122,Unknown,17,0.0,9.0,,17 | BANKING | 0 | 9
2012-13,General,122,Unknown,18,225.0,149.0,,18 | IBSM | 225 | 149
2012-13,General,122,Unknown,19,,5.0,,19 | WHEELING CHARGES | 5
