FY,Section,Page,Category,Units,Fixed_Charge,Energy_Charge,Wheeling_Charge,Raw_Row
2024-25,General,282,Solar,"3, 677",7696.0,11508.0,,"Solar | 3, 677 | 7,696 | 11,508"
2024-25,General,282,Non Solar,"6, 164",,16542.0,,"Non Solar | 6, 164 | 12, 236 | 16,542"
2024-25,General,282,Sr. No.,Solar (Centralized),4428.0,3553.0,,1a | Solar (Centralized) | 4428.00 | 3553.00
2024-25,General,282,Sr. No.,Solar (MSKVY),1478.0,537.86,,1b | Solar (MSKVY) | 1478.00 | 537.86
2024-25,General,282,Sr. No.,Solar (Kususm),22.0,0.0,,1c | Solar (Kususm) | 22.00 | 0.00
2024-25,General,282,Sr. No.,Total Solar,5928.0,4090.86,,1 | Total Solar | 5928.00 | 4090.86
2024-25,General,282,Sr. No.,Wind,3511.91,2839.36,,2a | Wind | 3511.91 | 2839.36
2024-25,General,282,Sr. No.,Bagasse based Co- generation,2634.7,2407.3,,2b | Bagasse based Co- generation | 2634.70 | 2407.30
2024-25,General,282,Sr. No.,Biomass,87.0,87.0,,2c | Biomass | 87.00 | 87.00
2024-25,General,283,Sr. No.,Small Hydro,327.33,320.68,,2d | Small Hydro | 327.33 | 320.68
2024-25,General,283,Sr. No.,Wind-Solar Hybrid,300.0,0.0,,2e | Wind-Solar Hybrid | 300.00 | 0.00
2024-25,General,283,Sr. No.,Municipal Solid Waste,17.19,4.0,,2f | Municipal Solid Waste | 17.19 | 4.00
2024-25,General,283,Sr. No.,Total Non-Solar,6878.13,5658.34,,2 | Total Non-Solar | 6878.13 | 5658.34
2024-25,General,283,Sr. No.,Total RE,12806.13,9749.2,,Total RE | 12806.13 | 9749.20
