FY,Section,Page,Category,Units,Fixed_Charge,Energy_Charge,Wheeling_Charge,Raw_Row
2024-25,LT_Agriculture,280,PGCIL Charges,,3661.91,3661.91,0.0,"PGCIL Charges | 3,661.91 | 3,661.91 | 0.00"
2024-25,LT_Agriculture,280,FBSM,,1.9,1.9,,FBSM | (330.82) | (330.82) | 1.90 | 1.90 | (0.06)
2024-25,LT_Agriculture,280,Inter State Purchase,,4.22,4.22,3.02,Inter State Purchase | 4.22 | 4.22 | 3.02 | 3.02 | 7.14
2024-25,LT_Agriculture,280,G -DAM,,52.91,52.91,38.86,G -DAM | 52.91 | 52.91 | 38.86 | 38.86 | 7.34
2024-25,LT_Agriculture,280,Total Power Purchase,"1,44,484",150288.0,5804.0,62337.57,"Total Power Purchase | 1,44,484 | 1,50,288 | 5,804 | 62,337.57 | 73,529 | 11,192 | 4.31 | 4.89 | 0.58"
2024-25,LT_Agriculture,280,Wind,"6,163.82",,2771.31,,"Wind | 6,163.82 | 2,771.31"
2024-25,LT_Agriculture,280,SHP,764.16,,229.98,,SHP | 764.16 | 229.98
2024-25,LT_Agriculture,280,Bagasse based Cogen.,"5,004.33",,3186.79,,"Bagasse based Cogen. | 5,004.33 | 3,186.79"
2024-25,LT_Agriculture,280,Biomass,273.19,,195.71,,Biomass | 273.19 | 195.71
2024-25,LT_Agriculture,280,MSW,0.39,,0.2,,MSW | 0.39 | 0.20
2024-25,LT_Agriculture,280,Total Non-Solar,"12,205.88",,6383.99,,"Total Non-Solar | 12,205.88 | 6,383.99"
2024-25,LT_Agriculture,280,Total Solar,"7,675.74",,2737.6,,"Total Solar | 7,675.74 | 2,737.60"
2024-25,LT_Agriculture,280,Total,"19,881.63",,9121.59,,"Total | 19,881.63 | 9,121.59"
