FY,Section,Page,Category,Units,Fixed_Charge,Energy_Charge,Wheeling_Charge,Raw_Row
2023-24,General,165,MAHAGENCO,"60,026.50",26139.4,4.35,53351.4,"MAHAGENCO | 60,026.50 | 26,139.40 | 4.35 | 53,351.40 | 28,310.30 | 5.31 | 53,351.40 | 28,310.30 | 5.31"
2023-24,General,165,NTPC,"30,044.50",12858.1,4.28,38050.69,"NTPC | 30,044.50 | 12,858.10 | 4.28 | 38,050.69 | 16,577.53 | 4.36 | 38,050.69 | 16,577.53 | 4.36"
2023-24,General,165,NPCIL,"4,233.10",1331.7,3.15,4434.6,"NPCIL | 4,233.10 | 1,331.70 | 3.15 | 4,434.60 | 2,054.20 | 4.63 | 4,434.60 | 2,054.20 | 4.63"
2023-24,General,166,JSW,,82.6,647.2,464.8,JSW | 82.6 | 647.2 | 464.8 | 7.18 | 647.2 | 464.8 | 7.18
2023-24,General,166,CGPL,3507.8,1935.3,5.52,1481.9,CGPL | 3507.8 | 1935.3 | 5.52 | 1481.9 | 1139 | 7.69 | 1481.9 | 1139 | 7.69
2023-24,General,166,Adani Power,13288.7,8051.1,6.06,21349.4,Adani Power | 13288.7 | 8051.1 | 6.06 | 21349.4 | 15571 | 7.29 | 21349.4 | 15571 | 7.29
2023-24,General,166,EMCO Power,1373.8,535.8,3.9,1509.0,EMCO Power | 1373.8 | 535.8 | 3.90 | 1509 | 654.5 | 4.34 | 1509 | 654.5 | 4.34
2023-24,General,166,Rattan India,9794.5,3928.6,4.2,8387.6,Rattan India | 9794.5 | 3928.6 | 4.20 | 8387.6 | 3716.5 | 4.43 | 8387.6 | 3716.5 | 4.43
2023-24,General,166,Sai Wardha,0,0.0,0.0,1644.51,Sai Wardha | 0 | 0 | 0 | 1644.51 | 745.51 | 4.53 | 1644.51 | 745.51 | 4.53
2023-24,General,168,KAPP,,,1118.76,,"KAPP | 1,118.76 | 901.95 | 8.06 | 1,118.76 | 901.95 | 8.06"
2023-24,General,168,TAPP 1&2,,0.24,0.24,,TAPP 1&2 | (10.07) | 0.24 | (0.23) | (10.07) | 0.24 | (0.23)
2023-24,General,168,TAPP 3&4,,,3325.95,,"TAPP 3&4 | 3,325.95 | 1,152.05 | 3.46 | 3,325.95 | 1,152.05 | 3.46"
2023-24,General,168,SSP,,,1180.51,,"SSP | 1,180.51 | 242.00 | 2.05 | 1,180.51 | 242.00 | 2.05"
2023-24,General,168,Pench,,,117.87,,Pench | 117.87 | 24.16 | 2.05 | 117.87 | 24.16 | 2.05
2023-24,General,168,Dodson II,,,19.28,,Dodson II | 19.28 | 9.47 | 4.91 | 19.28 | 9.47 | 4.91
2023-24,General,168,Renewable: Non-solar,,,12065.05,,"Renewable: Non-solar | 12,065.05 | 5,988.00 | 4.96 | 12,065.05 | 5,988.00 | 4.96"
2023-24,General,168,Renewable: Solar,,,8194.81,,"Renewable: Solar | 8,194.81 | 2,957.51 | 3.61 | 8,194.81 | 2,957.51 | 3.61"
2023-24,General,168,Hydro (Ghatghar),,,3930.76,,"Hydro (Ghatghar) | 3,930.76 | 773.60 | 1.97 | 3,930.76 | 773.60 | 1.97"
2023-24,General,168,Bhusawal - 3,,,640.29,,Bhusawal - 3 | 640.29 | 425.32 | 6.64 | 640.29 | 425.32 | 6.64
2023-24,General,168,Bhusawal - 4,,,2899.27,,"Bhusawal - 4 | 2,899.27 | 1,623.78 | 5.60 | 2,899.27 | 1,623.78 | 5.60"
2023-24,General,168,Bhusawal - 5,,,2899.27,,"Bhusawal - 5 | 2,899.27 | 1,623.78 | 5.60 | 2,899.27 | 1,623.78 | 5.60"
2023-24,General,168,Khaparkheda - 1 to 4,,,3901.39,,"Khaparkheda - 1 to 4 | 3,901.39 | 2,022.19 | 5.18 | 3,901.39 | 2,022.19 | 5.18"
2023-24,General,168,Khaparkheda - 5,,,3264.47,,"Khaparkheda - 5 | 3,264.47 | 1,766.79 | 5.41 | 3,264.47 | 1,766.79 | 5.41"
2023-24,General,168,"Nashik- 3,4 & 5",,,2244.88,,"Nashik- 3,4 & 5 | 2,244.88 | 1,498.81 | 6.68 | 2,244.88 | 1,498.81 | 6.68"
2023-24,General,168,Chandrapur - 3 to 7,,,7496.04,,"Chandrapur - 3 to 7 | 7,496.04 | 3,806.86 | 5.08 | 7,496.04 | 3,806.86 | 5.08"
2023-24,General,168,Paras - 3,,,1387.45,,"Paras - 3 | 1,387.45 | 665.10 | 4.79 | 1,387.45 | 665.10 | 4.79"
2023-24,General,169,Paras - 4,,,1387.45,,"Paras - 4 | 1,387.45 | 665.10 | 4.79 | 1,387.45 | 665.10 | 4.79"
2023-24,General,169,Parli - 6,,,1228.16,,"Parli - 6 | 1,228.16 | 794.18 | 6.47 | 1,228.16 | 794.18 | 6.47"
2023-24,General,169,Parli - 7,,,1228.16,,"Parli - 7 | 1,228.16 | 794.18 | 6.47 | 1,228.16 | 794.18 | 6.47"
2023-24,General,169,Koradi - 6,,,1187.23,,"Koradi - 6 | 1,187.23 | 539.15 | 4.54 | 1,187.23 | 539.15 | 4.54"
2023-24,General,169,GTPS Uran,,,1461.39,,"GTPS Uran | 1,461.39 | 995.01 | 6.81 | 1,461.39 | 995.01 | 6.81"
2023-24,General,169,Parli Replacement U 8,,,1000.38,,"Parli Replacement U 8 | 1,000.38 | 728.24 | 7.28 | 1,000.38 | 728.24 | 7.28"
2023-24,General,169,Chandrapur - 8,,,3139.02,,"Chandrapur - 8 | 3,139.02 | 1,710.78 | 5.45 | 3,139.02 | 1,710.78 | 5.45"
2023-24,General,169,Chandrapur - 9,,,3139.02,,"Chandrapur - 9 | 3,139.02 | 1,710.78 | 5.45 | 3,139.02 | 1,710.78 | 5.45"
2023-24,General,169,Koradi R U-8,,,3420.36,,"Koradi R U-8 | 3,420.36 | 1,624.44 | 4.75 | 3,420.36 | 1,624.44 | 4.75"
2023-24,General,169,Koradi 9,,,3420.36,,"Koradi 9 | 3,420.36 | 1,624.44 | 4.75 | 3,420.36 | 1,624.44 | 4.75"
2023-24,General,169,Koradi10,,,3420.36,,"Koradi10 | 3,420.36 | 1,624.44 | 4.75 | 3,420.36 | 1,624.44 | 4.75"
2023-24,General,169,IEPL,,,655.65,,IEPL | 655.65 | 220.17 | 3.36 | 655.65 | 220.17 | 3.36
2023-24,General,169,KSTPS,,,4975.61,,"KSTPS | 4,975.61 | 1,290.15 | 2.59 | 4,975.61 | 1,290.15 | 2.59"
2023-24,General,169,KSTPS III,,,881.82,,KSTPS III | 881.82 | 268.63 | 3.05 | 881.82 | 268.63 | 3.05
2023-24,General,169,VSTP I,,,3077.73,,"VSTP I | 3,077.73 | 868.72 | 2.82 | 3,077.73 | 868.72 | 2.82"
2023-24,General,169,VSTP II,,,2589.05,,"VSTP II | 2,589.05 | 698.20 | 2.70 | 2,589.05 | 698.20 | 2.70"
2023-24,General,169,VSTP III,,,2063.52,,"VSTP III | 2,063.52 | 473.83 | 2.30 | 2,063.52 | 473.83 | 2.30"
2023-24,General,169,VSTP IV,,,2471.6,,"VSTP IV | 2,471.60 | 802.00 | 3.24 | 2,471.60 | 802.00 | 3.24"
2023-24,General,169,VSTP V,,,1277.41,,"VSTP V | 1,277.41 | 416.33 | 3.26 | 1,277.41 | 416.33 | 3.26"
2023-24,General,169,Kawas,,,1.64,,"Kawas | 1.64 | 184.34 | 1,126.50 | 1.64 | 184.34 | 1,126.50"
2023-24,General,169,Gandhar,,,2.65,,Gandhar | 2.65 | 165.00 | 622.16 | 2.65 | 165.00 | 622.16
2023-24,General,169,KhSTPS-II,,,1084.77,,"KhSTPS-II | 1,084.77 | 543.16 | 5.01 | 1,084.77 | 543.16 | 5.01"
2023-24,General,169,SIPAT TPS 2,,,2107.39,,"SIPAT TPS 2 | 2,107.39 | 649.71 | 3.08 | 2,107.39 | 649.71 | 3.08"
2023-24,General,169,SIPAT TPS 1,,,3932.83,,"SIPAT TPS 1 | 3,932.83 | 1,524.95 | 3.88 | 3,932.83 | 1,524.95 | 3.88"
2023-24,General,169,Mauda I,,,2735.71,,"Mauda I | 2,735.71 | 1,643.23 | 6.01 | 2,735.71 | 1,643.23 | 6.01"
2023-24,General,169,Mauda II,,,3610.24,,"Mauda II | 3,610.24 | 2,355.20 | 6.52 | 3,610.24 | 2,355.20 | 6.52"
2023-24,General,169,NTPC Solapur,,,3824.56,,"NTPC Solapur | 3,824.56 | 2,834.44 | 7.41 | 3,824.56 | 2,834.44 | 7.41"
2023-24,General,169,Lara,,,2084.95,,"Lara | 2,084.95 | 941.31 | 4.51 | 2,084.95 | 941.31 | 4.51"
2023-24,General,169,Gadarwara,,,903.89,,Gadarwara | 903.89 | 603.55 | 6.68 | 903.89 | 603.55 | 6.68
2023-24,General,169,Khargone,,,425.33,,Khargone | 425.33 | 346.46 | 8.15 | 425.33 | 346.46 | 8.15
2023-24,General,169,NTPC NVVN Coal,,,148.87,,NTPC NVVN Coal | 148.87 | 66.24 | 4.45 | 148.87 | 66.24 | 4.45
2023-24,General,169,Inter State (MPEB),,,10.11,,Inter State (MPEB) | 10.11 | 8.80 | 8.70 | 10.11 | 8.80 | 8.70
2023-24,General,169,JSW,,,647.15,,JSW | 647.15 | 464.81 | 7.18 | 647.15 | 464.81 | 7.18
2023-24,General,169,CGPL,,,1481.92,,"CGPL | 1,481.92 | 1,139.04 | 7.69 | 1,481.92 | 1,139.04 | 7.69"
2023-24,General,169,APML 125 MW,,,641.92,,APML 125 MW | 641.92 | 679.21 | 10.58 | 641.92 | 679.21 | 10.58
2023-24,General,169,APML 1320 MW,,,9556.64,,"APML 1320 MW | 9,556.64 | 6,418.85 | 6.72 | 9,556.64 | 6,418.85 | 6.72"
2023-24,General,169,APML 1200 MW,,,9566.85,,"APML 1200 MW | 9,566.85 | 6,714.11 | 7.02 | 9,566.85 | 6,714.11 | 7.02"
2023-24,General,169,APML 440 MW,,,1584.03,,"APML 440 MW | 1,584.03 | 1,758.88 | 11.10 | 1,584.03 | 1,758.88 | 11.10"
2023-24,General,169,EMCO Power,,,1509.04,,"EMCO Power | 1,509.04 | 654.50 | 4.34 | 1,509.04 | 654.50 | 4.34"
2023-24,General,170,RIPL 450 MW,,,3145.36,,"RIPL 450 MW | 3,145.36 | 1,393.69 | 4.43 | 3,145.36 | 1,393.69 | 4.43"
2023-24,General,170,RIPL 750 MW,,,5242.27,,"RIPL 750 MW | 5,242.27 | 2,322.81 | 4.43 | 5,242.27 | 2,322.81 | 4.43"
2023-24,General,170,Sai Wardha,,,1644.51,,"Sai Wardha | 1,644.51 | 745.57 | 4.53 | 1,644.51 | 745.57 | 4.53"
2023-24,General,170,Short Term,,,4073.8,,"Short Term | 4,073.80 | 1,808.52 | 4.44 | 4,073.80 | 1,808.52 | 4.44"
2023-24,General,170,DSM,,1.4,1.4,,"DSM | (1,570.95) | (219.22) | 1.40 | (1,570.95) | (219.22) | 1.40"
2023-24,General,170,Others,,14.88,14.88,,Others | 14.88 | 14.88
2023-24,General,170,PGCIL Charges,,3801.82,3801.82,,"PGCIL Charges | 3,801.82 | 3,801.82"
2023-24,General,170,Total Power purchase,,,155095.74,,"Total Power purchase | 1,55,095.74 | 83,935.75 | 5.41 | 1,55,095.74 | 83,935.75 | 5.41"
2023-24,General,170,MSPGCL,"58,087.51",57146.78,-940.73,29567.31,"MSPGCL | 58,087.51 | 57,146.78 | -940.73 | 29,567.31 | 29,110.14 | 1,052.99 | 5.09 | 5.09 | 0.27"
2023-24,General,170,NTPC,"27,474.68",39003.97,11529.29,11224.71,"NTPC | 27,474.68 | 39,003.97 | 11,529.29 | 11,224.71 | 16,294.57 | 5,069.86 | 4.09 | 4.18 | 0.09"
2023-24,General,170,NPCIL,"4,372.41",5226.91,1006.23,1389.4,"NPCIL | 4,372.41 | 5,226.91 | 1,006.23 | 1,389.40 | 1,969.50 | 646.12 | 3.18 | 3.77 | 0.61"
2023-24,General,170,SSP,"1,213.26",921.69,-291.56,248.75,"SSP | 1,213.26 | 921.69 | -291.56 | 248.75 | 188.95 | -59.80 | 2.05 | 2.05 | 0.00"
2023-24,General,170,Pench,136.89,122.35,-14.54,28.06,Pench | 136.89 | 122.35 | -14.54 | 28.06 | 25.08 | -2.98 | 2.05 | 2.05 | 0.00
2023-24,General,170,Dodson,116.04,23.47,-92.57,27.68,Dodson | 116.04 | 23.47 | -92.57 | 27.68 | 19.01 | -8.67 | 2.39 | 8.10 | 5.71
2023-24,General,170,JSW,,1831.05,1831.05,164.67,"JSW | 1,831.05 | 1,831.05 | 164.67 | 926.00 | 761.33 | 5.06 | 5.06"
2023-24,General,170,CGPL,"1,518.07",4404.53,2886.46,1189.97,"CGPL | 1,518.07 | 4,404.53 | 2,886.46 | 1,189.97 | 2,206.49 | 1,016.52 | 7.84 | 5.01 | -2.83"
2023-24,General,170,Adani Power,"10,750.55",20095.74,9784.09,6811.56,"Adani Power | 10,750.55 | 20,095.74 | 9,784.09 | 6,811.56 | 11,401.89 | 4,590.33 | 6.34 | 5.67 | -0.66"
2023-24,General,170,EMCO Power,"1,373.82",1548.97,175.15,551.03,"EMCO Power | 1,373.82 | 1,548.97 | 175.15 | 551.03 | 727.41 | 176.38 | 4.01 | 4.70 | 0.69"
2023-24,General,170,Rattan India,"8,242.91",8975.78,732.88,3319.58,"Rattan India | 8,242.91 | 8,975.78 | 732.88 | 3,319.58 | 3,257.13 | -62.45 | 4.03 | 3.63 | -0.40"
2023-24,General,170,Sai Wardha,"1,551.61",1967.5,415.89,748.53,"Sai Wardha | 1,551.61 | 1,967.50 | 415.89 | 748.53 | 836.77 | 88.25 | 4.82 | 4.25 | -0.57"
